tp_record_share,ke,ki,id_polizza_exp,id_titolo_invio,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,numero_polizza_cmp_delegataria,progressivo,ramo,effetto_titolo,fl_aggiorna_copertura,tipo_titolo_compagnia,tipo_titolo_share,progressivo_titolo,tipo_polizza,frazionamento,stato_share,id_titolo_exp,id_incasso_exp,dt_pag_cliente,numero_foglio_cassa,data_registrazione_fc,data_foglio_cassa,valuta_share,tipo_coass,ns_quota,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,provvigioni_totale,provvigioni_acquisto_totale,provvigioni_acquisto_variabile,provvigioni_incasso_totale,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,provv_tot_c2,provv_tot_c3,provv_tot_c4,provv_acq_c2,provv_acq_c3,provv_acq_c4,provv_inc_c2,provv_inc_c3,provv_inc_c4,indicatore_incasso_subagente,fondo_mutua_totale,mezzo_pagamento_cmp,mezzo_pag_share,rischio_cmp,utente_incasso,importo_scatola_nera,id_anagrafica_exp,mandato,filename,data_elaborazione_file,numero_appendice,data_contenzioso
40,000000025099632,,0119050040016,000000025099632,0119050040016,035,4,119,0119050040016,,0,5,2022-09-30,N,Q,QZ,1,1,1,P,000000025099632,,2022-10-03,425.0,2022-10-03,2022-10-03,EUR,1,10000,Q,115.71,19.08,11.56,146.35,0.0,0.0,3.67,150.02,40.72,14.0,0.0,26.72,11900,000,046,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,510,,,003070000001972,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001491612,,0119050040197,000000001491612,0119050040197,035,4,119,0119050040197,,0,5,2011-11-24,S,Q,QZ,1,1,1,P,000000001491612,,2011-11-22,305.0,2011-11-29,2011-11-29,EUR,1,10000,Q,219.84,5.28,21.95,247.07,0.0,0.0,6.19,253.26,34.6,2.42,2.42,32.18,11906,000,006,000,0.0,10.88,0.0,0.0,0.0,0.0,0.0,10.88,0.0,CASSA,0.0,1,CC,500,,,000000005143713,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000020793378,,0119050040239,000000020793378,0119050040239,035,4,119,0119050040239,,0,5,2020-12-04,N,Q,QZ,1,1,1,A,000000020793378,,,,,,EUR,1,10000,Q,569.15,30.71,56.93,656.79,0.0,0.0,18.93,675.72,162.43,68.87,0.0,93.56,119,000,142,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,510,,,000000005141631,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001572805,,0119050040266,000000001572805,0119050040266,035,4,119,0119050040266,,0,5,2011-12-15,N,A,AD,1,1,1,A,000000001572805,,,,,,EUR,1,10000,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.05,-58.05,0.0,0.0,11900,000,085,091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,510,,,003070000061306,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000003106940,,0119050040366,000000003106940,0119050040366,035,4,119,0119050040366,,0,5,2014-02-28,S,Q,QZ,1,1,1,P,000000003106940,,2014-02-28,63.0,2014-03-01,2014-03-01,EUR,1,10000,Q,786.17,5.88,78.61,870.66,0.0,0.0,21.77,892.43,107.3,0.0,0.0,107.3,11902,000,002,000,0.0,56.21,0.0,0.0,0.0,0.0,0.0,56.21,0.0,BONIFICO,0.0,4,BB,530,,,003070000084400,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001218642,,0119050040385,000000001218642,0119050040385,035,4,119,0119050040385,,0,5,2011-02-05,S,Q,QZ,1,1,1,P,000000001218642,,2011-02-18,42.0,2011-02-18,2011-02-18,EUR,1,10000,Q,1554.45,22.62,155.44,1732.51,0.0,0.0,43.32,1775.83,288.01,69.25,69.25,218.76,11903,000,003,002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,530,,,003070000065700,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001407647,,0119050040405,000000001407647,0119050040405,035,4,119,0119050040405,,0,5,2011-08-08,S,Q,QZ,1,1,2,P,000000001407647,,2011-08-23,207.0,2011-08-23,2011-08-23,EUR,1,10000,Q,152.04,11.86,15.21,179.11,0.0,0.0,4.49,183.6,33.96,6.77,6.77,27.19,119,000,031,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,511,,,003070000054716,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001608070,,0119050040405,000000001608070,0119050040405,035,4,119,0119050040405,,0,5,2012-02-08,S,Q,QZ,1,1,2,A,000000001608070,,,,,,EUR,1,10000,Q,157.01,12.2,15.71,184.92,0.0,0.0,4.63,189.55,28.05,0.0,0.0,28.05,119,000,031,000,0.0,7.77,0.0,0.0,0.0,0.0,0.0,7.77,0.0,,0.0,,,511,,,003070000054716,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000009620462,,0119050040413,000000009620462,0119050040413,035,4,119,0119050040413,,0,5,2016-10-01,S,Q,QZ,1,1,1,P,000000009620462,,2016-10-07,389.0,2016-10-14,2016-10-14,EUR,1,10000,Q,142.96,11.52,14.29,168.77,0.0,0.0,4.23,173.0,43.08,17.3,0.0,25.78,11903,000,003,000,0.0,10.22,0.0,0.0,0.0,0.0,0.0,10.22,0.0,CASSA,0.0,1,CC,510,,,003070000039048,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000000974576,,0119050040426,000000000974576,0119050040426,035,4,119,0119050040426,,0,5,2019-04-11,N,Q,QZ,1,1,1,P,000000000974576,,2019-04-29,184.0,2019-04-30,2019-04-30,EUR,1,10000,Q,529.46,6.06,52.98,588.5,0.0,0.0,15.46,603.96,137.59,64.07,0.0,73.52,11902,000,023,000,0.0,66.98,0.0,0.0,32.03,0.0,0.0,34.95,0.0,BONIFICO,0.0,4,BB,511,,,003070000079605,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
