tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_share,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,cmp_sostituita_1_share,agenzia_sostituita_1,numero_polizza_sostituita_1,progressivo_sostituita_1,numero_applicazione_lm,libro_matricola,filename,data_elaborazione_file,mandato
22,2023010367646,2023010367646,035,465,2023010367646,0,2,,-,2022010264971,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010351538,2023010351538,035,114,2023010351538,0,2,,-,2022010291030,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010526869,2023010526869,035,130,2023010526869,0,2,,-,2022010455093,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024010076393,2024010076393,035,130,2024010076393,0,2,,-,2023010016494,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024010076397,2024010076397,035,130,2024010076397,0,2,,-,2023010016953,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024016009884,2024016009884,035,114,2024016009884,0,2,,-,2023010123437,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010600099,2023010600099,035,130,2023010600099,0,2,,-,2023010202883,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024010139364,2024010139364,035,465,2024010139364,0,2,,-,2023010619940,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2024016005316,2024016005316,035,114,2024016005316,0,2,,-,2024010082110,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2024016002733,2024016002733,035,130,2024016002733,0,2,,-,2024016002467,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024016124449,2024016124449,035,114,2024016124449,0,2,,-,2024016094514,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2017010702716,2017010702716,035,130,2017010702716,0,2,,-,2010010686529,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2012010549055,2012010549055,035,130,2012010549055,0,2,,-,2011010457939,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2012010580951,2012010580951,035,465,2012010580951,0,2,,-,2011010477431,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2019010351622,2019010351622,035,114,2019010351622,0,2,,-,2013010331395,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2015010450496,2015010450496,035,114,2015010450496,0,2,,-,2015010036248,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2019010034849,2019010034849,035,130,2019010034849,0,2,,-,2015010669873,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010247495,2022010247495,035,130,2022010247495,0,2,,-,2015010687111,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2021010013167,2021010013167,035,130,2021010013167,0,2,,-,2015010711472,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2017010468231,2017010468231,035,114,2017010468231,0,2,,-,2016010421997,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2018010661030,2018010661030,035,130,2018010661030,0,2,,-,2016010663169,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2018010209634,2018010209634,035,130,2018010209634,0,2,,-,2016010671241,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2018010414028,2018010414028,035,114,2018010414028,0,2,,-,2017010457469,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010325041,2022010325041,035,130,2022010325041,0,2,,-,2017010709158,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024010129081,2024010129081,035,465,2024010129081,0,2,,-,2018010336413,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010333468,2023010333468,035,465,2023010333468,0,2,,-,2018010401097,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2019010418588,2019010418588,035,114,2019010418588,0,2,,2018,2018010414551,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010006056,2022010006056,035,465,2022010006056,0,2,,-,2018010421729,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2021010525794,2021010525794,035,130,2021010525794,0,2,,-,2018010647619,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010655147,2019010655147,035,130,2019010655147,0,2,,-,2018010659002,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
