tp_record_share,id_polizza_exp,id_anagrafica_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,ramo_cmp,rischio_cmp,prodotto_cmp,ramo_share,cod_stato_share,cod_storno_share,cod_storno_cmp,data_annullamento,data_sospensione,effetto,scadenza_originale,scadenza_effettiva,scadenza_emesso,scadenza_incassato,frazionamento_share,durata_share,tacito_rinnovo_share,disdetta_share,giorni_mora,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,tipo_coass,ns_quota,cmp_delegataria,numero_polizza_delegataria,tipo_riparto_share,fl_vincolo,tipo_vincolo_cmp,scadenza_vincolo,codice_vincolo,fl_imposta,cmp_sostituita_1_ania,cmp_sostituita_1_exp,agenzia_sostituita_1,numero_polizza_sostituita_1,cmp_sostituente_ania,cmp_sostituente_exp,agenzia_sostituente,numero_polizza_sostituente,progressivo_sostituente,id_sostituente_exp,tipo_premi,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,flag_riparto,canale_commerciale,numero_proposta_cmp,data_emissione,tipo_affare_share,libro_matricola,numero_applicazione_lm,ramo_gestione_cmp,diritti_emissione,diritti_puo,diritti_pur,polizza_lps,tipo_firma,cuc,particolarita_polizza_1,particolarita_polizza_2,filename,data_elaborazione_file,mandato,data_fine_sospensione,flag_POE
20,2020010394965,006360000024023,2020010394965,035,4,118,2020010394965,0,2,1,10,01023,10.0,ST,VA,042,2022-04-20,2021-11-25,2020-07-30,2022-07-29,2022-07-29,2022-07-29,2022-07-29,1,1.0,S,0,15,118,000,010,000,1,10000,,,1,0,,,,,,,,,35.0,4.0,,2022010161658,0,2022010161658,R,Q,188.51,0.0,0.0,188.51,0.0,19.79,49.95,238.46,N,,,2020-07-27,,N,,,0.0,0.0,0.0,,G,,,,20_C_4_118_20240301111947_0_P.csv,2024-02-01,1,,
20,2016010019851,002400000034673,2016010019851,035,4,751,2016010019851,0,2,1,20,01023,10.0,ST,VA,042,2016-10-01,2016-08-01,2016-01-14,2017-01-14,2017-01-14,2017-01-14,2017-01-14,2,1.0,S,0,15,75182,000,082,000,1,10000,,,1,0,,,,,,,,2014010031589,35.0,4.0,,2016010539118,0,2016010539118,R,Q,440.02,0.0,0.0,440.03,0.0,44.84,114.47,554.5,N,,,2016-01-13,,N,,,0.0,0.0,0.0,,,,,,20_C_4_751_20240314153454_0_P.csv,2024-02-06,1,,
20,2011010678710,000000004227477,2011010678710,035,4,246,2011010678710,0,2,1,10,01023,10.0,ST,VE,018,2013-06-06,,2011-12-06,2013-12-06,2013-12-06,2013-12-06,2013-12-06,2,1.0,S,0,15,246,000,002,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,231.44,0.0,0.0,231.44,0.0,24.3,61.33,292.77,N,,,2011-12-06,,N,,,0.0,0.0,0.0,,,,,,20_C_4_246_20240301150844_0_P.csv,2024-02-02,1,,
20,2021502628242,000800000010209,2021502628242,035,4,356,2021502628242,0,5,50,450 ,000010,15.0,AT,,,,,2021-11-16,2024-11-16,2024-11-16,2024-11-16,2024-11-16,9,9.0,S,0,0,356,000,018,000,1,10000,,,1,0,,,0.0,S,,,,,,,,,0,,R,Q,74.2,13.91,18.55,106.66,0.0,0.0,13.34,120.0,N,,7213664,2021-11-17,,N,,,15.65,0.0,0.0,,,,,,20_C_4_356_20240306124655_0_P.csv,2024-02-03,1,,
20,2022010347141,002420000039705,2022010347141,035,4,735,2022010347141,0,2,1,10,01023,10.0,AT,,,,,2022-08-01,2024-07-31,2024-07-31,2024-07-31,2024-07-31,2,1.0,S,0,15,73515,000,015,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,334.39,0.0,0.0,334.39,0.0,35.11,88.61,423.0,N,,,2022-08-01,,N,,,0.0,0.0,0.0,,,,,,20_C_4_735_20240314150742_0_P.csv,2024-02-06,1,,
20,2009010452909,002380000012511,2009010452909,035,4,748,2009010452909,0,2,1,10,01013,10.0,ST,ST,026,2009-12-17,,2009-10-16,2010-10-15,2010-10-15,2010-10-15,2010-10-15,1,1.0,S,15,15,74845,000,045,000,1,10000,,,1,0,,,,,,,,,35.0,4.0,,2009010533888,0,2009010533888,R,Q,784.55,0.0,0.0,784.55,0.0,82.38,180.45,965.0,N,,,2009-10-16,,N,,,0.0,0.0,0.0,,,,,,20_C_4_748_20240314152638_0_P.csv,2024-02-06,1,,
20,2016502405080,000390000066944,2016502405080,035,4,881,2016502405080,0,5,50,450,000010,15.0,ST,SV,30,2017-04-19,,2016-10-16,2017-04-18,2017-04-18,2017-04-18,2017-04-18,9,9.0,N,0,15,881,000,035,000,1,10000,,,1,0,,,0.0,S,,,,,,,,,0,,R,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,,3709956,2016-10-14,,N,,,0.0,0.0,0.0,,,,,,20_C_4_881_20240314153950_0_P.csv,2024-02-06,1,,
20,0890100009052,001500000010203,0890100009052,035,4,890,0890100009052,0,1,10,170 ,000025,8.0,AT,,,,,2007-12-18,2024-12-18,2024-12-18,2024-12-18,2024-12-18,1,1.0,S,0,15,890,000,050,000,1,10000,,,1,0,,,0.0,S,23,3,890,,,,,,0,,R,Q,148.79,0.0,14.87,163.66,0.0,0.0,36.42,200.08,N,,890100009052M,2007-12-18,,N,,,0.0,0.0,0.0,,,,,,20_C_4_890_20240314154352_0_P.csv,2024-02-06,1,,
20,2018010113029,002740000027105,2018010113029,035,4,207,2018010113029,0,2,1,20,01023,10.0,ST,AR,161,2021-03-01,,2018-03-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,1,1.0,S,0,15,207,000,001,000,1,10000,,,1,0,,,,,,,,2015010125910,,,,,0,,R,Q,469.33,6.0,0.0,475.33,1.75,31.5,103.16,578.49,N,,,2018-02-27,,N,,,6.0,0.0,0.0,,,,,,20_C_4_207_20240301121236_0_P.csv,2024-02-01,1,,
20,2010010269922,001410000010041,2010010269922,035,4,801,2010010269922,0,2,1,25,01023,10.0,ST,DC,016,2011-05-31,,2010-05-31,2011-05-31,2011-05-31,2011-05-31,2011-05-31,1,1.0,S,15,15,80110,000,010,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,,,2010-05-31,,N,,,0.0,0.0,0.0,,,,,,20_C_4_801_20240314154303_0_P.csv,2024-02-06,1,,
20,2017010378927,001690000009539,2017010378927,035,4,678,2017010378927,0,2,1,20,01023,10.0,ST,AR,161,2018-07-11,,2017-07-11,2018-07-11,2018-07-11,2018-07-11,2018-07-11,2,1.0,S,0,15,678,000,000,000,1,10000,,,1,0,,,,,,,,2013010556489,,,,,0,,R,Q,477.16,12.2,0.0,489.37,1.69,29.59,99.5,588.87,N,,,2017-06-12,,N,,,12.2,0.0,0.0,,,,,,20_C_4_678_20240314140901_0_P.csv,2024-02-05,1,,
20,2018010310885,003550000344512,2018010310885,035,4,699,2018010310885,0,2,1,20,01023,10.0,ST,AR,161,2019-05-30,,2018-05-30,2019-05-30,2019-05-30,2019-05-30,2019-05-30,1,1.0,S,0,15,69927,000,027,000,1,10000,,,1,0,,,,,,,,2016010283575,,,,,0,,R,Q,334.81,0.0,0.0,334.82,0.0,27.38,72.9,407.72,N,,,2018-05-21,,N,,,0.0,0.0,0.0,,,,,,20_C_4_699_20240314142137_0_P.csv,2024-02-05,1,,
20,2015102860202,000000005966542,2015102860202,035,4,180,2015102860202,0,1,10,140,000130,8.0,ST,TS,5,2018-09-14,,2015-09-15,2018-09-15,2018-09-15,2018-09-15,2018-09-15,1,1.0,S,0,15,18013,000,013,000,1,10000,,,1,0,,,0.0,S,,,,,,,,,0,,R,Q,568.32,0.0,56.83,625.15,6.25,0.0,139.1,764.25,N,,3081822,2015-09-23,,N,,,0.0,0.0,0.0,,,,,,20_C_4_180_20240301115032_0_P.csv,2024-02-01,1,,
20,2022010529372,000000002668835,2022010529372,035,4,661,2022010529372,0,2,1,10,01023,10.0,AT,,,,,2022-12-21,2024-12-21,2024-12-21,2024-12-21,2024-12-21,1,1.0,S,0,15,661,000,000,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,146.26,0.0,0.0,146.26,0.0,15.35,33.63,179.89,N,,,2022-12-21,,N,,,0.0,0.0,0.0,,,,,,20_C_4_661_20240314140059_0_P.csv,2024-02-05,1,,
20,2018010196540,003510000100375,2018010196540,035,4,299,2018010196540,6206,2,1,25,01023,10.0,ST,,128,2018-04-02,,2018-04-02,2019-10-31,2019-10-31,2018-10-31,2018-10-31,1,1.0,N,0,15,299,000,025,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,657974.85,0.0,0.0,657974.85,6584.34,0.0,88859.15,746834.0,N,,,2018-05-11,,A,35100000002146.0,,0.0,0.0,0.0,,,,,,20_C_4_299_20240306125600_0_P.csv,2024-02-02,1,,
20,2015052600150,000600000025076,2015052600150,035,4,301,2015052600150,0,1,5,500 ,000020,1.0,ST,DC,21,2019-11-28,,2015-11-28,2019-11-28,2019-11-28,2019-11-28,2019-11-28,1,1.0,S,0,15,30145,000,045,000,1,10000,,,1,0,,,0.0,S,,,,2011052302458,,,,,0,,R,Q,107.96,17.83,10.79,136.58,0.0,0.0,3.42,140.0,N,,3145567,2015-10-26,,N,,,18.28,0.0,0.0,,G,,,,20_C_4_301_20240306130241_0_P.csv,2024-02-02,1,,
20,2011010126127,003220000014845,2011010126127,035,4,168,2011010126127,0,2,1,20,01023,10.0,ST,ST,026,2012-03-12,,2011-03-12,2012-03-12,2012-03-12,2012-03-12,2012-03-12,1,1.0,S,0,15,16815,000,015,000,1,10000,,,1,0,,,,,,,,2010010108595,35.0,4.0,,2012010236162,0,2012010236162,R,Q,976.35,12.0,0.0,988.36,5.86,42.2,171.6,1159.96,N,,,2011-03-09,,N,,,0.0,0.0,0.0,,,,,,20_C_4_168_20240301112638_0_P.csv,2024-02-01,1,,
20,2019010684795,006140000004533,2019010684795,035,4,621,2019010684795,0,2,1,20,01023,10.0,ST,ST,026,2020-02-02,,2019-12-14,2020-02-02,2020-02-02,2020-02-02,2020-02-02,2,1.0,S,0,15,621,000,000,000,1,10000,,,1,0,,,,,,,,2019010066773,35.0,4.0,,2020010087361,0,2020010087361,R,Q,562.39,19.35,0.0,581.74,4.24,16.56,99.03,680.77,N,,,2019-12-13,,N,,,14.65,0.0,0.0,,G,,,,20_C_4_621_20240314143637_0_P.csv,2024-02-04,1,,
20,2011032107721,003510000090623,2011032107721,035,4,299,2011032107721,0,1,3,0   ,000049,13.0,AT,,,,,2007-12-31,2023-12-31,2023-12-31,2023-12-31,2023-12-31,1,1.0,S,0,15,29955,000,355,000,1,10000,,,1,0,,,0.0,S,23,3,299,,,,,,0,,R,Q,374.8,0.0,37.48,412.28,4.12,0.0,91.74,504.02,N,,699030008306M,2007-12-31,,N,,,0.0,0.0,0.0,,,,,,20_C_4_299_20240306125600_0_P.csv,2024-02-02,1,,
