tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_codice_veicolo,codice_veicolo,data_immatricolazione,settore_rca_share,classe_rca_share,uso_rca_share,tipo_targa_share,targa,telaio,marca,modello,tipo_tariffa_rca_share,bonus_malus_universale,bonus_malus_interna,tp_alimentazione_share,cavalli_fiscali,quintali,posti,cilindrata,peso_posti_rim,kw,massimale_cose,massimale_persone,codice_convenzione,valore_veicolo,fl_indicizzazione,indice_base,indice_istat,tariffa_vita,regolaz_premio,dt_pross_regolazione,gg_comunicazione_dati_regolazione,marca_scatola_nera,natanti_numero_motori,natanti_stazza,natanti_lunghezza_fuori_tutto,natanti_velocita_massima,natanti_immatricolazione_estera,natanti_uso_diporto,libro_matricola,numero_applicazione_lm,descrizione_tariffa_vita,data_prossima_qz,tipo_polizza_vita_share,capitale_caso_morte,capitale_iniziale,capitale_rivalutato,data_ultima_rivalutazione,totale_quote,finanziamento,visita_medica,adeguamento_capitale,durata_pag_premi,cumulo_versamenti,cumulo_riscatti,eta_minima,eta_massima,versamento_minimo,versamento_massimo,data_rescindibilita,percentuale_detraibilita,benefici_mutualita,filename,data_elaborazione_file,mandato
21,2016802245986,2016802245986,035,4,210,2016802245986,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2024-06-26,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,N,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010210650,2016010210650,035,4,210,2016010210650,0,A,100480,2015-04-29,1,1,1,0,EZ263FX,,VOLKSWAGEN,Golf 7a serie,,1,1,DIESEL,17,0,5,1598,0,77,6000000.0,6000000.0,0948,15900.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2013010497869,2013010497869,035,4,210,2013010497869,0,A,074197,2007-08-09,1,1,1,0,DK459RR,,FORD,Focus 2/Focus C-Max,,1,8,DIESEL,17,0,0,0,0,66,6000000.0,6000000.0,0948,3950.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010362476,2016010362476,035,4,210,2016010362476,0,A,059983,2004-12-22,1,1,1,0,CT588CH,,FIAT,Panda 2a serie,1.0,1,8,BENZINA,13,0,0,0,0,40,7290000.0,7290000.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2013010424749,2013010424749,035,4,210,2013010424749,0,T,000000,2011-06-13,7,70,2,0,BG130T,,JOHN,DEERE,,2,14,DIESEL,0,0,0,0,66,0,7750000.0,7750000.0,2668,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2024-07-09,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,N,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2011010688248,2011010688248,035,4,210,2011010688248,0,A,073591,2008-03-07,1,1,1,0,DN909AH,,PORSCHE,Cayenne 2a serie,,1,11,BENZINA,30,0,0,0,0,213,6000000.0,6000000.0,0948,35000.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2017010667297,2017010667297,035,4,210,2017010667297,0,C,000000,2011-12-12,4,3,2,0,EL588FB,,FIAT,DUCATO,,1,14,DIESEL,0,35,0,0,0,0,7290000.0,7290000.0,0945,6800.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010693965,2016010693965,035,4,210,2016010693965,47,,,2007-09-06,0,0,0,0,AE54373,,KRONE,.,,,,,0,0,0,0,0,0,0.0,0.0,0681,0.0,N,0.0,0.0,,,2017-12-31,0,,0,0,0,0,N,N,A,28300000001600.0,,,,0.0,0.0,0.0,,0.0,,,,0,0.0,0.0,0,0,0.0,0.0,,,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010669614,2016010669614,035,4,210,2016010669614,0,A,063551,2008-02-18,1,1,1,0,DK772VG,,BMW,X3 (E83),,6,21,DIESEL,20,0,0,0,0,130,6000000.0,6000000.0,0945,11300.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2015102845560,2015102845560,035,4,210,2015102845560,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2023-07-05,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,N,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
